"Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0148-01"
"Release date: 2025-01-16"
"Geography: Canada, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

"Gender","Total - gender",,,,,,,
"Age group 8","All ages",,,,,,,
"Geography","2017","2018","2019","2020","2021","2022","2023","2024"
,"Persons",,,,,,,
"Victoriaville (CA), Quebec","51,737","52,200","52,471","52,788","53,099","53,618","54,244","54,988"
"Shawinigan (CA), Quebec","49,081","48,931","48,876","49,117","49,892","50,701","51,172","51,780"
"Granby (CA), Quebec","86,296","87,170","88,341","89,821","91,440","92,638","93,891","95,339"
"Saint-Hyacinthe (CA), Quebec","58,629","58,824","59,273","59,927","60,306","61,225","62,233","63,379"
"Sorel-Tracy (CA), Quebec","41,475","41,378","41,418","41,703","42,124","42,549","42,672","43,160"
"Joliette (CA), Quebec","50,028","50,609","51,343","52,057","53,023","53,761","54,644","55,504"
"Salaberry-de-Valleyfield (CA), Quebec","41,088","41,303","41,799","42,308","43,177","43,883","44,839","46,036"
"Sainte-Agathe-des-Monts (CA), Quebec","18,333","18,678","18,994","19,454","20,013","20,238","20,682","20,907"
"Lachute (CA), Quebec","12,885","13,087","13,377","13,664","14,226","14,826","15,002","15,241"
"Val-d'Or (CA), Quebec","33,946","34,016","34,089","34,208","34,234","34,292","34,421","34,803"
"Amos (CA), Quebec","19,006","18,903","18,860","18,886","18,958","18,944","18,943","18,974"
"Rouyn-Noranda (CA), Quebec","42,702","42,710","42,738","42,667","42,565","42,677","42,832","43,338"
"Hawkesbury (CA), Ontario/Quebec","12,173","12,183","12,193","12,200","12,333","12,434","12,527","12,629"
"Hawkesbury (CA), Ontario part, Ontario","10,477","10,477","10,465","10,484","10,506","10,565","10,598","10,725"
"Hawkesbury (CA), Quebec part, Quebec","1,696","1,706","1,728","1,716","1,827","1,869","1,929","1,904"
"Cornwall (CA), Ontario","61,645","62,320","62,720","63,136","63,680","64,435","66,369","68,046"
"Brockville (CA), Ontario","31,912","32,098","32,471","32,607","32,768","33,278","33,590","33,924"
